0.000000 0.100000 1.000000 -0.000000
0.100000 0.200000 1.000000 -0.100000
0.200000 0.300000 0.990000 -0.200000
0.300000 0.399000 0.970000 -0.300000
0.400000 0.496000 0.940000 -0.399000
0.500000 0.590000 0.900100 -0.496000
0.600000 0.680010 0.850500 -0.590000
0.700000 0.765060 0.791500 -0.680010
0.800000 0.844210 0.723499 -0.765060
0.900000 0.916560 0.646993 -0.844210
1.000000 0.981259 0.562572 -0.916560
1.100000 1.037516 0.470916 -0.981259
1.200000 1.084608 0.372790 -1.037516
1.300000 1.121887 0.269038 -1.084608
1.400000 1.148791 0.160578 -1.121887
1.500000 1.164849 0.048389 -1.148791
1.600000 1.169688 -0.066490 -1.164849
1.700000 1.163039 -0.182975 -1.169688
1.800000 1.144741 -0.299944 -1.163039
1.900000 1.114747 -0.416248 -1.144741
2.000000 1.073122 -0.530722 -1.114747
2.100000 1.020050 -0.642196 -1.073122
2.200000 0.955830 -0.749509 -1.020050
2.300000 0.880879 -0.851514 -0.955830
2.400000 0.795728 -0.947097 -0.880879
2.500000 0.701018 -1.035184 -0.795728
2.600000 0.597500 -1.114757 -0.701018
2.700000 0.486024 -1.184859 -0.597500
2.800000 0.367538 -1.244609 -0.486024
2.900000 0.243077 -1.293211 -0.367538
3.000000 0.113756 -1.329965 -0.243077
3.100000 -0.019240 -1.354273 -0.113756
3.200000 -0.154668 -1.365649 0.019240
3.300000 -0.291233 -1.363725 0.154668
3.400000 -0.427605 -1.348258 0.291233
3.500000 -0.562431 -1.319134 0.427605
3.600000 -0.694344 -1.276374 0.562431
3.700000 -0.821982 -1.220131 0.694344
3.800000 -0.943995 -1.150696 0.821982
3.900000 -1.059064 -1.068498 0.943995
4.000000 -1.165914 -0.974099 1.059064
4.100000 -1.263324 -0.868192 1.165914
4.200000 -1.350143 -0.751601 1.263324
4.300000 -1.425303 -0.625269 1.350143
4.400000 -1.487830 -0.490254 1.425303
4.500000 -1.536856 -0.347724 1.487830
4.600000 -1.571628 -0.198941 1.536856
4.700000 -1.591522 -0.045255 1.571628
4.800000 -1.596048 0.111908 1.591522
4.900000 -1.584857 0.271060 1.596048
5.000000 -1.557751 0.430665 1.584857
5.100000 -1.514685 0.589150 1.557751
5.200000 -1.455770 0.744925 1.514685
5.300000 -1.381277 0.896394 1.455770
5.400000 -1.291638 1.041971 1.381277
5.500000 -1.187441 1.180098 1.291638
5.600000 -1.069431 1.309262 1.187441
5.700000 -0.938504 1.428006 1.069431
5.800000 -0.795704 1.534949 0.938504
5.900000 -0.642209 1.628800 0.795704
6.000000 -0.479329 1.708370 0.642209
6.100000 -0.308492 1.772591 0.479329
6.200000 -0.131233 1.820524 0.308492
6.300000 0.050820 1.851373 0.131233
6.400000 0.235957 1.864496 -0.050820
6.500000 0.422407 1.859414 -0.235957
6.600000 0.608348 1.835819 -0.422407
6.700000 0.791930 1.793578 -0.608348
6.800000 0.971288 1.732743 -0.791930
6.900000 1.144562 1.653550 -0.971288
7.000000 1.309917 1.556422 -1.144562
7.100000 1.465559 1.441965 -1.309917
7.200000 1.609756 1.310974 -1.465559
7.300000 1.740853 1.164418 -1.609756
7.400000 1.857295 1.003442 -1.740853
7.500000 1.957639 0.829357 -1.857295
7.600000 2.040575 0.643627 -1.957639
7.700000 2.104938 0.447863 -2.040575
7.800000 2.149724 0.243806 -2.104938
7.900000 2.174104 0.033312 -2.149724
8.000000 2.177436 -0.181660 -2.174104
8.100000 2.159270 -0.399071 -2.177436
8.200000 2.119363 -0.616814 -2.159270
8.300000 2.057681 -0.832741 -2.119363
8.400000 1.974407 -1.044677 -2.057681
8.500000 1.869939 -1.250446 -1.974407
8.600000 1.744895 -1.447886 -1.869939
8.700000 1.600106 -1.634880 -1.744895
8.800000 1.436618 -1.809370 -1.600106
8.900000 1.255681 -1.969380 -1.436618
9.000000 1.058743 -2.113042 -1.255681
9.100000 0.847439 -2.238610 -1.058743
9.200000 0.623578 -2.344485 -0.847439
9.300000 0.389129 -2.429228 -0.623578
9.400000 0.146207 -2.491586 -0.389129
9.500000 -0.102952 -2.530499 -0.146207
9.600000 -0.356002 -2.545120 0.102952
9.700000 -0.610514 -2.534825 0.356002
9.800000 -0.863996 -2.499224 0.610514
9.900000 -1.113919 -2.438173 0.863996
10.000000 -1.357736 -2.351773 1.113919
